0,1,1,0,contents/0_lf1.svg,,contents/0.wav
1,1,1,0,contents/1_lf1.svg,,contents/3.wav
2,1,1,0,contents/2_lf1.svg,contents/2_lf2.svg,contents/6.wav
3,1,1,0,contents/3_lf1.svg,contents/3_lf2.svg,contents/8.wav
4,1,1,0,contents/4_lf1.svg,contents/4_lf2.svg,contents/12.wav
5,1,1,0,contents/5_lf1.svg,contents/5_lf2.svg,contents/16.wav
1000,1,1,1,contents/1000_pic.svg,contents/1000_word.svg,contents/18.wav
1001,1,1,1,contents/1001_pic.svg,contents/1001_word.svg,contents/30.wav
1002,1,1,1,contents/1002_pic.svg,contents/1002_word.svg,contents/31.wav
1003,1,1,1,contents/1003_pic.svg,contents/1003_word.svg,contents/35.wav
1004,1,1,1,contents/1004_pic.svg,contents/1004_word.svg,contents/41.wav

120,1,2,0,contents/120_lf1.svg,contents/120_lf2.svg,contents/57.wav
121,1,2,0,contents/121_lf1.svg,,contents/76.wav
122,1,2,0,contents/122_lf1.svg,contents/122_lf2.svg,contents/84.wav
123,1,2,0,contents/123_lf1.svg,contents/123_lf2.svg,contents/92.wav

1120,1,2,1,contents/1120_pic.svg,contents/1120_word.svg,contents/109.wav
1121,1,2,1,contents/1121_pic.svg,contents/1121_word.svg,contents/115.wav
1122,1,2,1,contents/1122_pic.svg,contents/1122_word.svg,contents/129.wav
1123,1,2,1,contents/1123_pic.svg,contents/1123_word.svg,contents/132.wav
1124,1,2,1,contents/1124_pic.svg,contents/1124_word.svg,contents/134.wav
1125,1,2,1,contents/1125_pic.svg,contents/1125_word.svg,contents/136.wav

130,1,3,0,contents/130_lf1.svg,contents/130_lf2.svg,contents/141.wav
131,1,3,0,contents/131_lf1.svg,contents/131_lf2.svg,contents/146.wav
132,1,3,0,contents/132_lf1.svg,,contents/166.wav
133,1,3,0,contents/133_lf1.svg,contents/133_lf2.svg,contents/172.wav

1130,1,3,1,contents/1130_pic.svg,contents/1130_word.svg,contents/190.wav
1131,1,3,1,contents/1131_pic.svg,contents/1131_word.svg,contents/192.wav
1132,1,3,1,contents/1132_pic.svg,contents/1132_word.svg,contents/199.wav
1133,1,3,1,contents/1133_pic.svg,contents/1133_word.svg,contents/204.wav
1134,1,3,1,contents/1134_pic.svg,contents/1134_word.svg,contents/226.wav
1135,1,3,1,contents/1135_pic.png,contents/1135_word.svg,contents/226.wav

140,1,4,0,contents/140_lf1.svg,contents/140_lf2.svg,contents/232.wav
141,1,4,0,contents/141_lf1.svg,contents/141_lf2.svg,contents/238.wav
142,1,4,0,contents/142_lf1.svg,contents/142_lf2.svg,contents/255.wav

1140,1,4,1,contents/1140_pic.svg,contents/1140_word.svg,contents/263.wav
1141,1,4,1,contents/1141_pic.svg,contents/1141_word.svg,contents/266.wav
1142,1,4,1,contents/1142_pic.svg,contents/1142_word.svg,contents/272.wav
1143,1,4,1,contents/1143_pic.svg,contents/1143_word.svg,contents/278.wav
1144,1,4,1,contents/1144_pic.svg,contents/1144_word.svg,contents/292.wav
1145,1,4,1,contents/1145_pic.svg,contents/1145_word.svg,contents/310.wav
1146,1,4,1,contents/1146_pic.svg,contents/1146_word.svg,contents/312.wav

210,2,1,0,contents/21_0_lf0.svg,contents/21_0_lf1.svg,contents/319.wav
211,2,1,0,contents/21_0_lf2.svg,contents/21_0_lf3.svg,contents/331.wav
212,2,1,0,contents/21_1_lf0.svg,contents/21_1_lf1.svg,contents/340.wav
213,2,1,0,contents/21_1_lf2.svg,contents/21_1_lf3.svg,contents/346.wav

1210,2,1,1,contents/1210_pic.svg,contents/1210_word.svg,contents/371.wav
1211,2,1,1,contents/1211_pic.svg,contents/1211_word.svg,contents/374.wav
